. Sequence file : [Hominid_COL17A1.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-90537.61001	Yes        	4        	0.567    	0.200    	 0.26205   0.23970   0.24168   0.25657	-0.96197   0.15985   0.69588   0.10625  
      	     	          	           	          	           	             	                                      	 0.74678   0.17012  -1.07521   0.15831  
      	     	          	           	          	           	             	                                      	 0.10555   0.66059   0.14838  -0.91451  
  #18	4   	-91140.61437	Yes        	4        	1.437    	0.203    	 0.25824   0.24249   0.24013   0.25914	-0.98410   0.15863   0.70983   0.11563  
      	     	          	           	          	           	             	                                      	 0.16893  -1.04398   0.17651   0.69853  
      	     	          	           	          	           	             	                                      	 0.76338   0.17825  -1.08186   0.14023  
      	     	          	           	          	           	             	                                      	 0.11523   0.65366   0.12994  -0.89883  
  #19	4   	-90156.27872	Yes        	4        	0.837    	0.198    	 0.25884   0.23967   0.23905   0.26244	-0.96581   0.16768   0.69143   0.10670  
      	     	          	           	          	           	             	                                      	 0.18109  -1.10571   0.17564   0.74898  
      	     	          	           	          	           	             	                                      	 0.74868   0.17610  -1.04359   0.11881  
      	     	          	           	          	           	             	                                      	 0.10524   0.68402   0.10822  -0.89748  
  #20	4   	-90433.39093	Yes        	4        	0.988    	0.200    	 0.26252   0.23559   0.24162   0.26027	-0.98162   0.17334   0.68896   0.11932  
      	     	          	           	          	           	             	                                      	 0.19315  -1.06817   0.16900   0.70602  
      	     	          	           	          	           	             	                                      	 0.74854   0.16478  -1.06298   0.14966  
      	     	          	           	          	           	             	                                      	 0.12035   0.63907   0.13894  -0.89836  
  #21	4   	-90832.67996	Yes        	4        	0.655    	0.200    	 0.26202   0.24057   0.23871   0.25870	-0.96694   0.16887   0.67610   0.12197  
      	     	          	           	          	           	             	                                      	 0.18393  -1.08571   0.17962   0.72216  
      	     	          	           	          	           	             	                                      	 0.74212   0.18102  -1.04757   0.12444  
      	     	          	           	          	           	             	                                      	 0.12353   0.67153   0.11482  -0.90988  
  #22	4   	-90343.28040	Yes        	4        	0.920    	0.199    	 0.26136   0.24299   0.23974   0.25591	-0.97743   0.15200   0.72572   0.09971  
      	     	          	           	          	           	             	                                      	 0.16350  -1.03929   0.18614   0.68966  
      	     	          	           	          	           	             	                                      	 0.79119   0.18866  -1.11220   0.13235  
      	     	          	           	          	           	             	                                      	 0.10183   0.65482   0.12398  -0.88064  
  #23	4   	-90534.52906	Yes        	4        	0.868    	0.199    	 0.26087   0.24147   0.24315   0.25451	-0.96931   0.15576   0.70403   0.10952  
      	     	          	           	          	           	             	                                      	 0.16827  -1.05905   0.17463   0.71615  
      	     	          	           	          	           	             	                                      	 0.75533   0.17343  -1.06052   0.13177  
      	     	          	           	          	           	             	                                      	 0.11226   0.67947   0.12589  -0.91761  
  #24	4   	-90524.44022	Yes        	4        	0.723    	0.200    	 0.26090   0.24014   0.23985   0.25911	-0.99133   0.16175   0.71480   0.11478  
      	     	          	           	          	           	             	                                      	 0.17573  -1.04367   0.17864   0.68930  
      	     	          	           	          	           	             	                                      	 0.77752   0.17885  -1.09369   0.13732  
      	     	          	           	          	           	             	                                      	 0.11557   0.63884   0.12712  -0.88153  
  #25	4   	-90413.38074	Yes        	4        	1.050    	0.200    	 0.26227   0.23845   0.24129   0.25799	-0.98967   0.16454   0.71375   0.11139  
      	     	          	           	          	           	             	                                      	 0.18097  -1.07004   0.16700   0.72208  
      	     	          	           	          	           	             	                                      	 0.77580   0.16503  -1.05871   0.11788  
      	     	          	           	          	           	             	                                      	 0.11323   0.66737   0.11024  -0.89085  
  #26	4   	-90293.83786	Yes        	4        	0.450    	0.180    	 0.26220   0.23705   0.24086   0.25989	-0.95945   0.17115   0.67826   0.11004  
      	     	          	           	          	           	             	                                      	 0.18931  -1.09586   0.17362   0.73294  
      	     	          	           	          	           	             	                                      	 0.73836   0.17087  -1.04845   0.13923  
      	     	          	           	          	           	             	                                      	 0.11102   0.66852   0.12903  -0.90857  
  #27	4   	-90253.81751	Yes        	4        	1.242    	0.202    	 0.25928   0.23965   0.24090   0.26018	-0.97419   0.15419   0.70418   0.11582  
      	     	          	           	          	           	             	                                      	 0.16682  -1.06665   0.19033   0.70950  
      	     	          	           	          	           	             	                                      	 0.75789   0.18934  -1.07913   0.13189  
      	     	          	           	          	           	             	                                      	 0.11542   0.65352   0.12212  -0.89106  
  #28	4   	-90537.98462	Yes        	4        	1.070    	0.201    	 0.26075   0.23998   0.24108   0.25819	-0.96418   0.16568   0.69617   0.10234  
      	     	          	           	          	           	             	                                      	 0.18001  -1.07604   0.19008   0.70595  
      	     	          	           	          	           	             	                                      	 0.75294   0.18921  -1.08136   0.13921  
      	     	          	           	          	           	             	                                      	 0.10335   0.65618   0.12999  -0.88952  
  #29	4   	-90291.97417	Yes        	4        	0.711    	0.200    	 0.26048   0.24046   0.24043   0.25863	-1.00494   0.17110   0.72802   0.10582  
      	     	          	           	          	           	             	                                      	 0.18534  -1.05364   0.14994   0.71836  
      	     	          	           	          	           	             	                                      	 0.78874   0.14996  -1.06115   0.12244  
      	     	          	           	          	           	             	                                      	 0.10658   0.66791   0.11383  -0.88831  
  #30	4   	-90398.11366	Yes        	4        	0.572    	0.200    	 0.26083   0.24071   0.23992   0.25854	-0.99115   0.17327   0.70355   0.11433  
      	     	          	           	          	           	             	                                      	 0.18776  -1.04659   0.15918   0.69965  
      	     	          	           	          	           	             	                                      	 0.76486   0.15970  -1.06941   0.14485  
      	     	          	           	          	           	             	                                      	 0.11534   0.65138   0.13442  -0.90114  
  #31	4   	-90161.22391	Yes        	4        	0.822    	0.198    	 0.26064   0.24249   0.23984   0.25703	-0.95461   0.15334   0.69176   0.10951  
      	     	          	           	          	           	             	                                      	 0.16481  -1.05417   0.16207   0.72729  
      	     	          	           	          	           	             	                                      	 0.75175   0.16386  -1.06376   0.14815  
      	     	          	           	          	           	             	                                      	 0.11104   0.68615   0.13823  -0.93543  
  #32	4   	-90099.90585	Yes        	4        	1.136    	0.201    	 0.26156   0.23952   0.24198   0.25694	-0.94114   0.15750   0.68308   0.10056  
      	     	          	           	          	           	             	                                      	 0.17199  -1.07077   0.15578   0.74300  
      	     	          	           	          	           	             	                                      	 0.73833   0.15419  -1.05189   0.15936  
      	     	          	           	          	           	             	                                      	 0.10236   0.69262   0.15008  -0.94507  
  #33	4   	-90787.93753	Yes        	4        	0.413    	0.181    	 0.25890   0.23981   0.24225   0.25904	-0.98337   0.14527   0.71743   0.12068  
      	     	          	           	          	           	             	                                      	 0.15683  -1.02892   0.17004   0.70206  
      	     	          	           	          	           	             	                                      	 0.76673   0.16833  -1.08478   0.14972  
      	     	          	           	          	           	             	                                      	 0.12061   0.64994   0.14002  -0.91056  
  #34	4   	-90583.26413	Yes        	4        	0.798    	0.200    	 0.25736   0.24037   0.24145   0.26081	-0.99249   0.16615   0.69922   0.12712  
      	     	          	           	          	           	             	                                      	 0.17789  -1.05498   0.18747   0.68962  
      	     	          	           	          	           	             	                                      	 0.74529   0.18663  -1.07167   0.13975  
      	     	          	           	          	           	             	                                      	 0.12544   0.63558   0.12938  -0.89039  
  #35	4   	-90869.74636	Yes        	4        	1.181    	0.202    	 0.25814   0.24038   0.24079   0.26069	-0.98024   0.15978   0.71673   0.10374  
      	     	          	           	          	           	             	                                      	 0.17158  -1.06839   0.17168   0.72512  
      	     	          	           	          	           	             	                                      	 0.76838   0.17139  -1.07011   0.13034  
      	     	          	           	          	           	             	                                      	 0.10272   0.66863   0.12039  -0.89175  
  #36	4   	-90496.81242	Yes        	4        	0.543    	0.200    	 0.25772   0.24419   0.24137   0.25672	-0.95860   0.15241   0.71605   0.09013  
      	     	          	           	          	           	             	                                      	 0.16086  -1.04929   0.17889   0.70954  
      	     	          	           	          	           	             	                                      	 0.76457   0.18099  -1.09471   0.14916  
      	     	          	           	          	           	             	                                      	 0.09048   0.67491   0.14024  -0.90563  
  #37	4   	-90714.88632	Yes        	4        	0.984    	0.200    	 0.26114   0.24088   0.24176   0.25622	-0.94314   0.15967   0.68038   0.10309  
      	     	          	           	          	           	             	                                      	 0.17310  -1.07372   0.19836   0.70226  
      	     	          	           	          	           	             	                                      	 0.73493   0.19764  -1.08466   0.15209  
      	     	          	           	          	           	             	                                      	 0.10507   0.66019   0.14351  -0.90877  
  #38	4   	-90154.91106	Yes        	4        	0.738    	0.200    	 0.26212   0.24048   0.24124   0.25617	-0.99130   0.17245   0.69759   0.12126  
      	     	          	           	          	           	             	                                      	 0.18797  -1.06351   0.18386   0.69168  
      	     	          	           	          	           	             	                                      	 0.75797   0.18328  -1.06402   0.12277  
      	     	          	           	          	           	             	                                      	 0.12407   0.64931   0.11561  -0.88900  
  #39	4   	-90138.81255	Yes        	4        	1.543    	0.203    	 0.25875   0.24128   0.24097   0.25901	-0.95268   0.17066   0.69151   0.09051  
      	     	          	           	          	           	             	                                      	 0.18302  -1.10009   0.19361   0.72345  
      	     	          	           	          	           	             	                                      	 0.74252   0.19386  -1.07013   0.13374  
      	     	          	           	          	           	             	                                      	 0.09042   0.67394   0.12443  -0.88878  
  #40	4   	-90864.97502	Yes        	4        	1.040    	0.200    	 0.26004   0.23822   0.24354   0.25820	-0.98569   0.15741   0.70753   0.12076  
      	     	          	           	          	           	             	                                      	 0.17183  -1.06886   0.17725   0.71978  
      	     	          	           	          	           	             	                                      	 0.75548   0.17338  -1.05200   0.12315  
      	     	          	           	          	           	             	                                      	 0.12162   0.66407   0.11615  -0.90183  
  #41	4   	-90343.54596	Yes        	4        	0.548    	0.200    	 0.25756   0.24345   0.24210   0.25689	-0.99321   0.15477   0.72400   0.11444  
      	     	          	           	          	           	             	                                      	 0.16374  -1.03278   0.18912   0.67992  
      	     	          	           	          	           	             	                                      	 0.77023   0.19018  -1.09516   0.13475  
      	     	          	           	          	           	             	                                      	 0.11474   0.64434   0.12699  -0.88606  
  #42	4   	-90426.41715	Yes        	4        	0.716    	0.200    	 0.26067   0.23986   0.24176   0.25771	-1.01611   0.18678   0.71635   0.11298  
      	     	          	           	          	           	             	                                      	 0.20298  -1.04859   0.16419   0.68142  
      	     	          	           	          	           	             	                                      	 0.77237   0.16291  -1.06888   0.13361  
      	     	          	           	          	           	             	                                      	 0.11428   0.63424   0.12534  -0.87385  
  #43	4   	-90419.63563	Yes        	4        	1.193    	0.202    	 0.25816   0.23812   0.24092   0.26281	-0.97862   0.14964   0.72944   0.09955  
      	     	          	           	          	           	             	                                      	 0.16223  -1.06486   0.19711   0.70553  
      	     	          	           	          	           	             	                                      	 0.78162   0.19481  -1.11105   0.13461  
      	     	          	           	          	           	             	                                      	 0.09778   0.63924   0.12340  -0.86043  
  #44	4   	-90692.78751	Yes        	4        	1.680    	0.204    	 0.25912   0.24178   0.23890   0.26020	-0.97902   0.17068   0.67710   0.13124  
      	     	          	           	          	           	             	                                      	 0.18292  -1.07076   0.18478   0.70306  
      	     	          	           	          	           	             	                                      	 0.73439   0.18700  -1.05389   0.13250  
      	     	          	           	          	           	             	                                      	 0.13070   0.65330   0.12166  -0.90566  
  #45	4   	-90239.04048	Yes        	4        	0.619    	0.200    	 0.26031   0.23914   0.24041   0.26014	-0.97401   0.16531   0.70495   0.10375  
      	     	          	           	          	           	             	                                      	 0.17995  -1.07672   0.20180   0.69497  
      	     	          	           	          	           	             	                                      	 0.76329   0.20073  -1.09713   0.13312  
      	     	          	           	          	           	             	                                      	 0.10382   0.63887   0.12302  -0.86571  
  #46	4   	-90545.89070	Yes        	4        	1.366    	0.202    	 0.25696   0.24062   0.24261   0.25981	-0.94637   0.13633   0.68036   0.12969  
      	     	          	           	          	           	             	                                      	 0.14558  -1.04956   0.20066   0.70332  
      	     	          	           	          	           	             	                                      	 0.72059   0.19901  -1.08161   0.16200  
      	     	          	           	          	           	             	                                      	 0.12826   0.65139   0.15128  -0.93093  
  #47	4   	-90438.93006	Yes        	4        	0.585    	0.197    	 0.26142   0.23692   0.24332   0.25834	-0.99298   0.15994   0.72607   0.10698  
      	     	          	           	          	           	             	                                      	 0.17648  -1.06075   0.18241   0.70186  
      	     	          	           	          	           	             	                                      	 0.78008   0.17761  -1.08473   0.12703  
      	     	          	           	          	           	             	                                      	 0.10826   0.64368   0.11965  -0.87158  
  #48	4   	-90378.39908	Yes        	4        	0.584    	0.197    	 0.26194   0.23657   0.24446   0.25702	-0.95083   0.15136   0.69319   0.10629  
      	     	          	           	          	           	             	                                      	 0.16759  -1.08137   0.18756   0.72621  
      	     	          	           	          	           	             	                                      	 0.74274   0.18151  -1.06646   0.14220  
      	     	          	           	          	           	             	                                      	 0.10832   0.66843   0.13526  -0.91201  
  #49	4   	-90333.89566	Yes        	4        	0.700    	0.200    	 0.25699   0.23829   0.24515   0.25956	-0.94677   0.15191   0.69542   0.09945  
      	     	          	           	          	           	             	                                      	 0.16383  -1.09621   0.19805   0.73433  
      	     	          	           	          	           	             	                                      	 0.72899   0.19250  -1.06226   0.14076  
      	     	          	           	          	           	             	                                      	 0.09847   0.67416   0.13295  -0.90557  
  #50	4   	-90468.28613	Yes        	4        	0.543    	0.200    	 0.25954   0.23865   0.24320   0.25861	-0.97750   0.14983   0.72581   0.10186  
      	     	          	           	          	           	             	                                      	 0.16294  -1.06188   0.20484   0.69410  
      	     	          	           	          	           	             	                                      	 0.77458   0.20101  -1.10620   0.13062  
      	     	          	           	          	           	             	                                      	 0.10223   0.64053   0.12284  -0.86560  
  #51	4   	-90795.61825	Yes        	4        	1.081    	0.201    	 0.25665   0.24156   0.24239   0.25940	-0.93775   0.16519   0.66521   0.10736  
      	     	          	           	          	           	             	                                      	 0.17551  -1.10110   0.20106   0.72453  
      	     	          	           	          	           	             	                                      	 0.70435   0.20037  -1.05216   0.14744  
      	     	          	           	          	           	             	                                      	 0.10622   0.67471   0.13777  -0.91870  
  #52	4   	-90403.29743	Yes        	4        	0.858    	0.199    	 0.26244   0.23862   0.24102   0.25791	-1.00344   0.17576   0.71722   0.11046  
      	     	          	           	          	           	             	                                      	 0.19331  -1.04566   0.16674   0.68561  
      	     	          	           	          	           	             	                                      	 0.78098   0.16508  -1.08406   0.13801  
      	     	          	           	          	           	             	                                      	 0.11240   0.63433   0.12897  -0.87570  
  #53	4   	-90655.97497	Yes        	4        	0.783    	0.200    	 0.26155   0.23744   0.24048   0.26053	-0.98060   0.14472   0.71027   0.12561  
      	     	          	           	          	           	             	                                      	 0.15943  -1.05787   0.17330   0.72515  
      	     	          	           	          	           	             	                                      	 0.77251   0.17110  -1.06919   0.12557  
      	     	          	           	          	           	             	                                      	 0.12610   0.66086   0.11591  -0.90287  
  #54	4   	-90004.58349	Yes        	4        	0.751    	0.200    	 0.26253   0.23587   0.24216   0.25944	-0.94580   0.14310   0.69958   0.10312  
      	     	          	           	          	           	             	                                      	 0.15927  -1.10316   0.19352   0.75036  
      	     	          	           	          	           	             	                                      	 0.75843   0.18850  -1.06695   0.12002  
      	     	          	           	          	           	             	                                      	 0.10435   0.68219   0.11203  -0.89857  
  #55	4   	-90655.26322	Yes        	4        	0.669    	0.200    	 0.26011   0.23468   0.24178   0.26343	-1.01667   0.14684   0.75580   0.11402  
      	     	          	           	          	           	             	                                      	 0.16275  -1.03702   0.18189   0.69238  
      	     	          	           	          	           	             	                                      	 0.81313   0.17654  -1.11532   0.12565  
      	     	          	           	          	           	             	                                      	 0.11259   0.61681   0.11533  -0.84472  
  #56	4   	-90237.83377	Yes        	4        	0.883    	0.199    	 0.25781   0.24061   0.23962   0.26195	-0.98953   0.18737   0.68044   0.12172  
      	     	          	           	          	           	             	                                      	 0.20077  -1.07356   0.18135   0.69143  
      	     	          	           	          	           	             	                                      	 0.73209   0.18210  -1.05977   0.14558  
      	     	          	           	          	           	             	                                      	 0.11979   0.63510   0.13317  -0.88806  
  #57	4   	-90310.54673	Yes        	4        	1.341    	0.202    	 0.25879   0.23937   0.24386   0.25798	-0.97112   0.14885   0.71107   0.11120  
      	     	          	           	          	           	             	                                      	 0.16092  -1.05937   0.16759   0.73086  
      	     	          	           	          	           	             	                                      	 0.75461   0.16451  -1.05698   0.13787  
      	     	          	           	          	           	             	                                      	 0.11155   0.67814   0.13033  -0.92002  
  #58	4   	-90772.33665	Yes        	4        	1.007    	0.200    	 0.26181   0.24185   0.23977   0.25656	-0.97287   0.15086   0.72081   0.10120  
      	     	          	           	          	           	             	                                      	 0.16331  -1.02045   0.17814   0.67900  
      	     	          	           	          	           	             	                                      	 0.78705   0.17968  -1.12518   0.15845  
      	     	          	           	          	           	             	                                      	 0.10327   0.64006   0.14808  -0.89142  
  #59	4   	-90432.25230	Yes        	4        	0.446    	0.200    	 0.25966   0.24332   0.23660   0.26042	-0.95536   0.15186   0.66890   0.13460  
      	     	          	           	          	           	             	                                      	 0.16205  -1.06473   0.17385   0.72882  
      	     	          	           	          	           	             	                                      	 0.73410   0.17879  -1.04937   0.13648  
      	     	          	           	          	           	             	                                      	 0.13421   0.68097   0.12400  -0.93918  
  #60	4   	-90604.86536	Yes        	4        	0.547    	0.200    	 0.25803   0.24157   0.24302   0.25738	-0.98905   0.17545   0.70560   0.10799  
      	     	          	           	          	           	             	                                      	 0.18740  -1.06313   0.17605   0.69967  
      	     	          	           	          	           	             	                                      	 0.74917   0.17500  -1.06098   0.13682  
      	     	          	           	          	           	             	                                      	 0.10826   0.65670   0.12919  -0.89415  
  #61	4   	-90644.69253	Yes        	4        	0.881    	0.199    	 0.26111   0.24031   0.24006   0.25852	-0.99173   0.15556   0.71182   0.12434  
      	     	          	           	          	           	             	                                      	 0.16902  -1.04693   0.17378   0.70413  
      	     	          	           	          	           	             	                                      	 0.77423   0.17396  -1.07350   0.12531  
      	     	          	           	          	           	             	                                      	 0.12559   0.65454   0.11636  -0.89648  
  #62	4   	-90380.74179	Yes        	4        	0.505    	0.180    	 0.25939   0.23928   0.24423   0.25710	-0.99065   0.16472   0.72852   0.09741  
      	     	          	           	          	           	             	                                      	 0.17856  -1.03717   0.17241   0.68620  
      	     	          	           	          	           	             	                                      	 0.77372   0.16891  -1.09656   0.15393  
      	     	          	           	          	           	             	                                      	 0.09828   0.63862   0.14622  -0.88312  
  #63	4   	-90326.23195	Yes        	4        	0.580    	0.200    	 0.25704   0.24076   0.24149   0.26071	-0.96139   0.17107   0.67942   0.11090  
      	     	          	           	          	           	             	                                      	 0.18264  -1.09175   0.15787   0.75124  
      	     	          	           	          	           	             	                                      	 0.72316   0.15739  -1.02138   0.14083  
      	     	          	           	          	           	             	                                      	 0.10934   0.69374   0.13045  -0.93353  
  #64	4   	-90341.83172	Yes        	4        	1.173    	0.201    	 0.26058   0.23884   0.23988   0.26070	-0.98338   0.15996   0.71740   0.10601  
      	     	          	           	          	           	             	                                      	 0.17453  -1.06844   0.19463   0.69928  
      	     	          	           	          	           	             	                                      	 0.77932   0.19378  -1.09920   0.12609  
      	     	          	           	          	           	             	                                      	 0.10597   0.64065   0.11603  -0.86264  
  #65	4   	-90489.44526	Yes        	4        	0.868    	0.199    	 0.25888   0.23992   0.24017   0.26103	-0.95125   0.15537   0.69488   0.10100  
      	     	          	           	          	           	             	                                      	 0.16765  -1.08693   0.22168   0.69760  
      	     	          	           	          	           	             	                                      	 0.74902   0.22145  -1.10866   0.13819  
      	     	          	           	          	           	             	                                      	 0.10017   0.64117   0.12715  -0.86848  
  #66	4   	-90538.53716	Yes        	4        	0.760    	0.200    	 0.25997   0.24073   0.23880   0.26050	-0.96124   0.15551   0.70196   0.10377  
      	     	          	           	          	           	             	                                      	 0.16794  -1.06156   0.19778   0.69584  
      	     	          	           	          	           	             	                                      	 0.76420   0.19937  -1.11008   0.14651  
      	     	          	           	          	           	             	                                      	 0.10356   0.64302   0.13431  -0.88089  
  #67	4   	-90037.98832	Yes        	4        	1.485    	0.203    	 0.25510   0.24190   0.24285   0.26015	-0.98658   0.14807   0.72747   0.11103  
      	     	          	           	          	           	             	                                      	 0.15615  -1.04132   0.18020   0.70497  
      	     	          	           	          	           	             	                                      	 0.76417   0.17950  -1.08451   0.14083  
      	     	          	           	          	           	             	                                      	 0.10887   0.65552   0.13146  -0.89585  
  #68	4   	-89820.48897	Yes        	4        	0.790    	0.198    	 0.25932   0.23960   0.24364   0.25744	-0.96243   0.16301   0.68952   0.10989  
      	     	          	           	          	           	             	                                      	 0.17643  -1.09100   0.18454   0.73002  
      	     	          	           	          	           	             	                                      	 0.73391   0.18148  -1.04382   0.12843  
      	     	          	           	          	           	             	                                      	 0.11070   0.67944   0.12155  -0.91169  
  #69	4   	-90482.69153	Yes        	4        	0.909    	0.199    	 0.25941   0.23890   0.24452   0.25717	-1.01169   0.16348   0.73234   0.11587  
